census_tract,census_county,hvi
6037238310,Los Angeles County,69.97
6037238320,Los Angeles County,67.73
6037238400,Los Angeles County,55.26
6037239201,Los Angeles County,72.54
6037239202,Los Angeles County,64.57
6037239310,Los Angeles County,72.43
6037239320,Los Angeles County,70.33
6037239330,Los Angeles County,55.96
6037239501,Los Angeles County,63.31
6037239502,Los Angeles County,62.31
6037239601,Los Angeles County,72.64
6037239602,Los Angeles County,71.67
6037239701,Los Angeles County,71.98
6037239702,Los Angeles County,65.95
6037239801,Los Angeles County,64.49
6037239802,Los Angeles County,60.25
6037240010,Los Angeles County,61.96
6037240020,Los Angeles County,59.44
6037240200,Los Angeles County,66.06
6037240300,Los Angeles County,60.86
6037240401,Los Angeles County,60.88
6037240402,Los Angeles County,60.14
6037240500,Los Angeles County,64.28
6037240600,Los Angeles County,62.93
6037240700,Los Angeles County,55.44
6037240800,Los Angeles County,53.12
6037240900,Los Angeles County,62.92
6037241001,Los Angeles County,61.15
6037241002,Los Angeles County,52.12
6037241110,Los Angeles County,63.04
6037241120,Los Angeles County,66.79
6037241201,Los Angeles County,56.95
6037241202,Los Angeles County,61.92
6037241300,Los Angeles County,60.55
6037241400,Los Angeles County,62.95
6037242000,Los Angeles County,59.88
6037242100,Los Angeles County,70.65
6037242200,Los Angeles County,63.42
